Date,Time,Town / Village,Area,"Occupation
(Where Relevant)",Description
2004-09-07,11:30,Holywell,Flintshire,,"Two silvery objects, they were pulling apart and moving together and they left vapour trails as they were moving."
2004-09-08,20:15,Cardiff,South Glamorgan,,"Large flash of light which turned into a grey object descending over Cardiff bay, with trailing smoke behind it."
2004-09-09,23:20,Dumfries,Dumfries and Galloway,,Spotted strange lights over the town.
2004-09-16,03:50,Iwerne Minster,Dorset,,"The object looked like a great bright light and was really intense, like a big ball of fire, rapidly moving towards the ground."
2004-09-20,22:00,Lutterworth,Leicestershire,,Flashing lights.
2004-09-24,06:30,Devizes,Wiltshire,,Looked like a big ball of fire coming down from the sky with a tail and sparks coming off of the end of it.
2004-09-24,06:30,Newport,Dyfed/South Wales,,"One object that looked like a disc, with a tail and was shiny."
2004-09-24,,Swindon,Wiltshire,,Saw a big orange disc going from East to West. Said the object was totally silent and moving quite slowly.
2004-09-30,21:10,Porchester,Hampshire,,Just mentioned a sighting.
2004-10-10,10:15,Strath Bongo/Glasgow,Strathclyde,,"The object looked like a wide test tube shape, that moved from the South East."
2004-10-10,22:15,Colchester,Essex,,"Bright orange/red colour object, rapidly and randomly changing direction, from East to West."
2004-10-11,02:35,Preston,Lancashire,,The object was a round sphere like the moon and it had green and red flashing lights and was very noisy.
2004-10-12,20:07,Dumfries,Dumfries & Galloway,,Strange lights over the town.
2004-10-18,,Wimbledon,London,,A few objects.
2004-11-06,21:25,Driffield,East Yorkshire,,The object had three to four different colour lights.
2004-11-09,,Warmington,Northants,,"The object was very bright like the sun, and it looked like the size of a space hopper! Had flames coming off of it, so it could have been a meteorite."
2004-11-11,14:15,Ilford,Essex,,The object was the size of a round beach ball and black. Looked disc shaped when it became stationary in the sky. Had no wings.
2004-11-19,08:02,Douglas,Isle of Man,,"The object was a silver disc, with solar panels, but turned out to be an ATR 42 - twin propeller, Euromanx aeroplane."
2004-11-26,21:00,West Kilbride,Ayrshire,,"Witnessed at least 25 yellow spheres, flying in groups of five, flying North over West Kilbride."
2004-11-29,17:15,Wellingborough,Northants,,A group of lights were seen and then a buzzing noise was heard.
2004-12-10,17:25,Broxburn/Edinburgh,Lothian,,"Ball of fire, with a tail five to seven times the diameter of the ball. Bright orange with a weaker orange tail. Meteorite?"
2004-12-15,08:30,Lisburn/Belfast,County Antrim,,Three bright lights moving in the sky.
2004-12-27,17:15,Wellingborough,Northants,,"A 'UFO' was seen, and then it changed into a bright light."
,,Leicester,Leicestershire,,"Three to four discs, that looked oval shape when the discs moved to the side. Moved in a triangular formation across the sky."
,,Letchworth,Bedfordshire,,"Two objects flying around the sky for about two hours, and that they were going quite slow. (Seen in December '04)."
2004-08-16,23:35,West Kilbride,Ayrshire,,"Five spheres spotted, flying together."
2004-08-29,03:05,Loughton,Essex,,"The object was white, hazy and round, and there was no noise."
2004-09-01,15:55,Glossop,Derbyshire,,Silver disc.
2004-09-02,23:50,Deal,Kent,,The object was very bright and was of large proportions. Large in velocity.
2004-09-04,14:30,White Hill,East Hampshire,,The object was a black cylinder rectangle shape and was the size of a house. One minute the colour was black and then changed to a silver colour.
2004-09-05,10:24,Birmingham,West Midlands,,The object was about 2-3mm wide with a domed top and bottom. Was metallic in appearance.
2004-09-05,15:20,Barry,South Glamorgan,,"The object was a bright light at first and then looked like a box kite. There was no sound, wings or fuselage."
2004-09-07,11:30,Holywell,Flintshire,,"Two silvery objects, they were pulling apart and moving together and they left vapour trails as they were moving."
2004-09-08,20:15,Cardiff,South Glamorgan,,"Large flash of light which turned into a grey object descending over Cardiff bay, with trailing smoke behind it."
2004-09-09,23:20,Dumfries,Dumfries and Galloway,,Spotted strange lights over the town.
2004-09-16,03:50,Iwerne Minster,Dorset,,"The object looked like a great bright light and was really intense, like a big ball of fire, rapidly moving towards the ground."
2004-09-20,22:00,Lutterworth,Leicestershire,,Flashing lights.
2004-09-24,06:30,Devizes,Wiltshire,,Looked like a big ball of fire coming down from the sky with a tail and sparks coming off of the end of it.
2004-09-24,06:30,Newport,Dyfed/South Wales,,"One object that looked like a disc, with a tail and was shiny."
2004-09-24,,Swindon,Wiltshire,,Saw a big orange disc going from East to West. Said the object was totally silent and moving quite slowly.
2004-09-30,21:10,Porchester,Hampshire,,Just mentioned a sighting.
2004-10-10,10:15,Strath Bongo/Glasgow,Strathclyde,,"The object looked like a wide test tube shape, that moved from the South East."
2004-10-10,22:15,Colchester,Essex,,"Bright orange/red colour object, rapidly and randomly changing direction, from East to West."
2004-10-11,02:35,Preston,Lancashire,,The object was a round sphere like the moon and it had green and red flashing lights and was very noisy.
2004-10-12,20:07,Dumfries,Dumfries & Galloway,,Strange lights over the town.
2004-10-18,,Wimbledon,London,,A few objects.
2004-11-06,21:25,Driffield,East Yorkshire,,The object had three to four different colour lights.
2004-11-09,,Warmington,Northants,,"The object was very bright like the sun, and it looked like the size of a space hopper! Had flames coming off of it, so it could have been a meteorite."
2004-11-11,14:15,Ilford,Essex,,The object was the size of a round beach ball and black. Looked disc shaped when it became stationary in the sky. Had no wings.
2004-11-19,08:02,Douglas,Isle of Man,,"The object was a silver disc, with solar panels, but turned out to be an ATR 42 - twin propeller, Euromanx aeroplane."
2004-11-26,21:00,West Kilbride,Ayrshire,,"Witnessed at least 25 yellow spheres, flying in groups of five, flying North over West Kilbride."
2004-11-29,17:15,Wellingborough,Northants,,A group of lights were seen and then a buzzing noise was heard.
2004-12-10,17:25,Broxburn/Edinburgh,Lothian,,"Ball of fire, with a tail five to seven times the diameter of the ball. Bright orange with a weaker orange tail. Meteorite?"
2004-12-15,08:30,Lisburn/Belfast,County Antrim,,Three bright lights moving in the sky.
2004-12-27,17:15,Wellingborough,Northants,,"A 'UFO' was seen, and then it changed into a bright light."
,,Leicester,Leicestershire,,"Three to four discs, that looked oval shape when the discs moved to the side. Moved in a triangular formation across the sky."
,,Letchworth,Bedfordshire,,"Two objects flying around the sky for about two hours, and that they were going quite slow. (Seen in December '04)."
2005-01-14,00:24,Leeds,West Yorkshire,,"Two bright lights, really round, and orange in colour."
2005-01-10,,Scarborough,North Yorkshire,,The object was like a big silver ball/light that was seen in the sky and it then moved off at speed to the North East. Seen night time.
2005-01-14,,St Clements,Cornwall,,A bright light was seen heading towards the earth through the clouds.
2005-01-15,23:15,Stoke-on-Trent,Staffordshire,,Just said it was a flying saucer.
2005-01-19,18:45,,Shropshire,,Lights seen in the sky.
2005-01-19,18:50,,Shropshire,,Beam of light seen.
2005-01-19,18:35,,Shropshire,,Beam of light seen.
2005-01-24,23:10,Portadown,Northern Ireland,,There were eighteen lights moving across the sky.
2005-01-31,05:00,Port Talbot,West Glamorgan,,"Looked like an orange ball of light, like a big star in the sky and it had spiderish legs."
2005-01-31,16:30,Scarborough,North Yorkshire,,Light bulbs in the sky. (From the Scarborough Evening Post).
2005-02-01,10:30,Stirling,,,Black saucer hovering.
2005-02-02,17:50,Wellingborough,Northamptonshire,,"Witnessed a V shaped object, which had bright lights, and sounded like bees."
2005-02-04,20:00,Bridlington North Bay,East Yorkshire,,A group of lights in the sky were moving erratically to the West. They just seemed to fade away.
2005-02-08,22:55,Orpington,London,,A massive light. The object was shaped like an iron. Didn't move at all.
2005-02-11,,Huntingdon,Cambridgeshire,,The witness just said that it was a 'UFO'.
2005-02-14,19:05,Selby,North Yorkshire,,A crescent shaped object was noticed.
2005-02-14,20:55,Selby,North Yorkshire,,There was a crescent shaped object in the sky.
2005-02-15,01:00,Greenock,Strathclyde,,Large yellow conical shape.
2005-02-15,05:15,Scarborough,North Yorkshire,,"Two large, orange balls seen in the sky."
2005-02-15,01:00,Selby,North Yorkshire,,"A white light was moving slow in the direction of Hull like it was floating, but it stopped after a couple of minutes."
2005-02-19,19:45,Llangollen,Clwyd,,A number of orange lights seen in the sky.
2005-02-20,,Leicester,Leicestershire,,"Object seen in the sky, but then the witness said it could have been a meteorite."
2005-02-20,10:00,Walthamstow,London,,A light in the sky.
2005-02-20,09:50,Cardiff,South Glamorgan,,"Bright blue object, that broke into about 3/4 segments and then disappeared."
2005-02-20,09:45,Nr Minehead,Somerset,,"A 'swishing' sound, like a firework was heard and there was a bright green light travelling from East to West. It had a white trail."
2005-02-20,,Yeovil,Somerset,,Bright blue flash in the sky.
2005-02-20,,Sherborne,Dorset,,A flash of green/blue colour going across the sky. Looked like it was disintegrating. Looked like it had a tail.
2005-02-20,09:45,Barrington,Somerset,,Saw an amazing blue light travelling very fast across the sky. Left a trail.
2005-02-20,,Kenton Mandeville,,,A blue flash of light going across the sky.
2005-02-20,,,Somerset,,A blue flash in the sky.
2005-02-20,,,Dorset,,A flash of blue light was seen.
2005-02-20,,East Coker near Yeovil,Somerset,,Saw a flying object.
2005-02-20,,Yeldersley,Derbyshire,,"The object was missile shaped. Was turquoise in colour, metallic and looked reflective, and was the length of an estate car."
2005-02-21,,Chivnal,Shropshire,,Silver object/ball with a tail on it. Was going very fast.
2005-02-21,10:00,Teddington,Middlesex,,Something was seen in the sky.
2005-02-21,09:56,Winkleigh,Devon,,Object seen in the sky.
2005-02-27,,Wokingham,Berkshire,,"Zoom of light which streaked across the sky from left to right, changed into a silver ball, then a flying saucer shape, before disappearing."
2005-03-13,23:00,Filey,North Yorkshire,,Saw lights that seemed to be dancing in the sky.
2005-03-14,05:29,Immingham/Grimsby,Humberside,,"Saw one strange light, that stayed there for about an hour. It dimmed, then got brighter again."
2005-03-20,19:35,,North Wales,,Just said saw a UFO.
2005-03-24,21:30,,,,The object was star shaped and all the colours of the rainbow and was dancing around.
2005-03-31,21:15,Woking,Surrey,,A bright star that moved to the side. It had bright lights.
2005-04-04,,Crosby,,,Just said late at night witnessed something in the sky that could not be identified.
2005-04-06,23:00,West Kilbride,Ayrshire,,Saw one yellow sphere that was very bright and fast. Moving from West to North East.
2005-04-07,23:15,West Kilbride,Ayrshire,,"Saw three spheres within five minutes, moving from West to North East."
2005-04-11,00:45,Shrewsbury,Shropshire,,"A triangular shaped, huge craft, with red lights on the stern. It hovered over the southern suburbs of Shrewsbury."
2005-04-18,00:30,Matlock,Derbyshire,,The witness said that there was a descending white light. Then rotating beams of light going upwards from the ground.
2005-04-18,17:00,A64,,,Silver ball that was stationary and then disappeared in to a cloud.
2005-04-21,06:31,,Norfolk,,Three objects were seen hovering in the sky.
2005-04-22,,Wellingborough,Northamptonshire,,A UFO/bright light was seen at a high altitude.
2005-04-29,,,Pembrokeshire,,"Saw a thing in the sky like a white square box, travelling towards Newport."
2005-05-02,23:45,Flamborough Head,East Yorkshire,,Several lights on the horizon moving from side to side and up and down. They were there for about 15 minutes and then stopped.
2005-05-14,21:43,,South-East London,,"A black cigar shaped object, that looked like a disc side on. It accelerated to a great speed that would outstrip a fighter jet."
2005-05-27,15:15,,Kent,,"Was a small white object, that was moving parallel with an airliner."
2005-06-04,00:30,St Neots,Cambridgeshire,,The object looked like a dim red light. Was zig Zagging across the sky in an easterly direction. Was faster than a plane.
2005-06-07,23:30,Filey,North Yorkshire,,Flying triangle.
2005-06-18,22:00,M62,,,"Two silver balls, one after the other travelling West."
2005-06-23,15:15,Stapleford,Nottinghamshire,,"Two extremely bright, round lights, they had an object by the left of them, which was lozenge shaped. Had the speed of an arrow."
2005-07-04,21:00,Middlesbrough,Cleveland,,The object was triangular and the point was sort of rounded. It was silent and had no lights. Moved slowly in an Easterly direction.
2005-07-04,22:00,Scarborough,North Yorkshire,,A UFO.
2005-07-11,23:30,Nailsworth,Gloucestershire,,Said there were strange lights in the sky at a very high altitude.
2005-08-02,22:15,,,,There were two objects above the house and they circled above it about five times.
2005-08-03,00:00,Peacehaven,East Sussex,,There were seven red and white flashing lights. They were moving in an erratic type of way.
2005-08-06,22:00,Rotherham,South Yorkshire,,Thin band of cloud with beams of light coming down. Lights moved from side to side like search lights.
2005-08-06,22:15,,Cumbria,,Saw about forty orange and red lights in the sky.
2005-08-07,21:30,Kirby,Merseyside,Sargeant/Merseyside Police,There were four oblongs that were equally spaced. They also looked like bright lights.
2005-08-09,23:00,Milton Keynes,Bucks,,Was travelling on the motorway and noticed objects/red balls in the sky. They were travelling North West.
2005-08-10,18:30,Walthamstow,London,,The object was the size of a jumbo jet and was silver.
2005-08-11,02:00,Hurst,Berkshire,,"The witness didn't see the object, but said that it sounded like a 1930's airship. There was a low humming noise over the house."
2005-08-13,17:11,10 miles West of Gatwick,Sussex,Pilot/Air France,One-two metres in length. Was a yellow colour and cylindrical in shape. Not a balloon shape.
2005-08-21,11:50,Ripon,North Yorkshire,,"Round, football shaped object that was shiny and metalic."
2005-08-23,,North of Derbyshire,,,"There were eight to ten circular things/objects that looked quite low in the sky. They were uniform shape, small and opaque."
2005-09-02,21:30,Rhossili Bay,South Wales,,"A bright object was travelling at high speed, horizontally, West to East. The object was a matt white, which looked like marble."
2005-09-03,17:45,Little Waltham,Essex,,"The witness saw a cylindrical shaped object, that changed from silver to black as it was moving across the sky. About 100ft wide."
2005-09-04,22:00,Louth,Lincolnshire,,"Two orange orbs seen outside moving very slow at first, then very fast towards the North Sea."
2005-09-04,02:35,Wolsingham,Northumbria,Four Police Officers,"There was a three dimensional diamond shaped object, approx. size of a large helicopter. It had green lights on either side."
2005-09-05,21:00,Hornchurch,Essex,,A 'UFO'.
2005-09-09,05:45,Little Hampton,West Sussex,,"There was one light in the sky that burst into four separate ones, before disappearing."
2005-09-10,22:00,Loughton,Essex,,Three glowing lights. They were a bright orange colour.
2005-09-10,22:00,Loughton,Essex,,"Three golden orbs seen hovering in the sky for an hour, moving in a triangle formation."
2005-09-10,22:00,Loughton,Essex,,The witness said that there were three very suspicious looking lights up in the sky. They were orange and very bright.
2005-09-10,21:00,Loughton,Essex,,Three objects were seen in the sky. The objects appeared to be orange in colour.
2005-09-10,20:58,Loughton,Essex,,Three balls of fire in the sky. They keep circling and then lining up.
2005-09-14,21:15,Lochgelly,Fife,,"Bright, white lights that were moving in semi circles."
2005-09-14,21:45,Glenrothes,Fife,,"Three-six bright, white lights in circles."
2005-09-14,23:15,Creiff,Perthshire,,"Clear white lights, like a torch but no beam."
2005-09-14,20:50,Letham,Fife,,White circles all over the sky.
2005-09-14,20:55,Blairgowrie,Perthshire,,Three white circles going clockwise then anti-clockwise.
2005-09-14,21:23,Kinross,Perthshire,,Two-three bright green and luminous lights circling.
2005-09-17,15:58,,,Pilot,"One object, dark brown, that was a military shape and was fast moving."
2005-09-20,20:39,Romford,Essex,,Four orange lights above the witnesses house.
2005-10-10,,,,,Just said had a sighting in the evening.
2005-10-12,17:40,Truro,Cornwall,,A bright light was seen coming from North West heading South East.
2005-10-14,,Keswick,,,A UFO.
2005-10-16,22:40,Cayton Bay,North Yorkshire,,The object was like a fire ball in the sky. It was moving to the North.
2005-10-16,22:45,Muston,North Yorkshire,,"Object, like an orange ball with a tail."
2005-10-16,23:45,Redcar,Cleveland,,Balls of lights and a streak.
2005-10-16,23:40,Macclesfield,Cheshire,,An object like a disc was in the sky heading West.
2005-10-16,19:30,Whitby,North Yorkshire,,There was a silver object with a tail travelling North.
2005-10-16,21:00,Hull,North Yorkshire,,"Five or six pulsing lights in the sky, that were moving to the South."
2005-10-16,20:00,Mablethorpe,Lincolnshire,,Witness saw a silver light and then a flash.
2005-10-18,22:00,York,North Yorkshire,,Saw an object like a big star moving North West.
2005-10-18,22:00,Withernsea,East Yorkshire,,Exploding lights were seen in the sky.
2005-10-18,19:00,Filey,North Yorkshire,,Red and silver lights were seen in the sky.
2005-10-18,19:00,Selby,North Yorkshire,,Saw lights that looked like Christmas tree decorations moving in the sky.
2005-10-19,20:50,Seamer,North Yorkshire,,"A globe shaped object fell out of the sky. It was like a round, white light. It fell in the direction of Staxton."
2005-10-20,20:17,Chigwell,Essex,,Seven or eight orange glows above cloud cover with planes below. No flashing and looked like parachute flares.
2005-10-21,21:15,Hunmanby,North Yorkshire,,"Object in the sky, that looked like a white ball of light."
2005-10-23,,Stapleford Abbots,Essex,,A sighting in the evening.
2005-10-26,19:15,Malton A64,North Yorkshire,,Three red lights in a triangle formation.
2005-10-26,23:58,,Wales,,The object looked like a red ball and was the size of a sixpence. It exploded and the whole sky lit up.
2005-10-27,18:45,Scarborough,North Yorkshire,,Orange balls were seen on the way to Pickering.
2005-10-29,18:00,A171,,,"Was travelling to Whitby on the A171, and saw the object that looked like an orange ball."
2005-11-05,23:00,Cheltenham,Gloucestershire,,Three objects seen in the sky. They all seemed to rotate.
2005-11-08,00:00,Cheltenham,Gloucestershire,,Two objects seen.
2005-11-09,20:30,Sleights,North Yorkshire,,"Diamond shaped craft/object. The object had an unusual powerful, white/yellow, rotating beacon/searchlight at its rear."
2005-11-14,23:45,Selby,North Yorkshire,,"A flying triangle in the sky. (All D/DAS/64/2 Part S, E27 - 42 UFO sightings given to us by a UFO group)."
2005-11-19,,Boston,Lincolnshire,,"Lights were seen in the sky, moving in a straight line and were evenly spaced. The lights were glowing amber like street lights."
2005-11-22,,Sheerness,Kent,,"A 'V' shape of dim lights, that went into a straight line and then back into a V again."
2005-11-22,,Gillingham,Kent,,"Five lights in the sky, that looked very strange. The lights were flashing."
2005-12-13,19:45,Eastleigh,Hants,,"The trail of light was almost luminous green in colour, and looked like a rocket. Was high in the sky and was travelling at an amazing speed."
2005-12-14,07:15,,,,The witness said that the object looked like a shooting star. Was very bright and had a trail behind it.
2005-12-15,21:15,Dunfermline,Fife,,The object looked like a black triangle.
2005-12-16,14:10,Peebles,Borders,,The object was small and silver in colour. Was flying twice the speed of a military aircraft in a very straight line.
2005-12-18,07:45,Leigh-on-Sea,Essex,,"A photograph of a dot in the sky was taken, and when magnified, looked like some strange craft."
2005-12-24,21:20,Whitstable,Kent,,"Three bright, orange lights in the sky, and then a forth orange light appeared and followed the other three."
2005-12-27,,Rendlesham Forest,Suffolk,,A plume of light was seen that was a yellowish/orange colour. It vanished after a few seconds.
,,Chatteris,Cambridgeshire,,Just said that it was a sighting.
,,Whitstable,Kent,,Strange lights were seen in the sky.
,,Port Talbot,West Glamorgan,,Said it looked like a parachute flare.
,,Swansea,West Glamorgan,Coastguard,Said it looked like a parachute flare.
,,Brighton,,,"Sighting seen sometime in 2005, in Southwick."
,,Briton Ferry,West Glamorgan,,Just said something was seen in the sky. (Was seen sometime in February 2005).
,,Slough,Berkshire,,"The witness said it was like a big shooting star, amazing, but then said it was going too fast to be one."
,,Shepton Mallet,Somerset,,"(Seen in April 2005). Just said that the object looked like a star, but moved very slow sideways."
,,Basildon,Essex,,"(Seen in April 2005). Said that there was a spacecraft with aliens (the greys), sitting on top of it, above the bungalow."
,,Kendal,Cumbria,,(Was seen sometime in 2005). Witness thinks it was a UFO.
,,Brixton Hill,London,,(Was seen sometime in 2005). Witness thinks it was a UFO.
,09:34,Chevithorne,Devon,,The object looked like a telegraph pole.
,,Cardiff,South Wales,,A UFO. (Seen sometime in 2005).
,,Pontyclun,South Wales,,A UFO. (Seen sometime in 2005).
,,,,,"Two UFOs were spotted, and they were clearly not aeroplanes. (Seen sometime in July 2005)."
,,Lichfield,Staffordshire,,The object was circular and was a dull orange colour/light. Was the size of a meduim aircraft. (Seen in August 2005).
,,Ipswich,Suffolk,,Just said that it was a 'UFO'. ( Seen sometime in 2005).
,,,Somerset,,The witness said that there was a bubble like thing in the sky. It flashed across the sky. (Seen sometime in August 2005).
,,Croesyceiliog,Gwent,,The witness saw five to six white lights flying very fast overhead. They looked a bit like bright stars.
,,Bagshot,Surrey,,Just said a sighting.
,,,,,"A big, long shaped object seen. Like a long shaft. (Seen October 2005)."
,,,,,Just said had a UFO sighting.
,22:00,A5,North Wales,,"Witness saw bright lights dancing in the sky, on the way to Llandudno. (Seen in January 2005)."
,23:10,Monmouth,Gwent,,"A flying saucer was seen, while looking out of the bedroom window. (Was seen in October 2005)."
,,Waterlooville,Hampshire,,"Twelve objects were seen in the sky in a sort of a formation - three in a line, two in a line. Some flying above others."
,,Harrington,East Lothian,,Witness just said that it was a UFO. (Seen sometime in December 2005).
,,Louth,Lincolnshire,,"The object had red, blue and white lights and was flickering, it was there for over half an hour. (Seen sometime in 2005)."
,,Ely,Cambs,,Just said a sighting. (Seen sometime in 2005).
,,High Wycombe,Buckinghamshire,,An object was seen. (Seen sometime in December 2005).
2005-11-05,23:00,Cheltenham,Gloucestershire,,Three objects seen in the sky. They all seemed to rotate.
2005-11-08,00:00,Cheltenham,Gloucestershire,,Two objects seen.
2005-11-09,20:30,Sleights,North Yorkshire,,"Diamond shaped craft/object. The object had an unusual powerful, white/yellow, rotating beacon/searchlight at its rear."
2005-11-14,23:45,Selby,North Yorkshire,,"A flying triangle in the sky. (All D/DAS/64/2 Part S, E27 - 42 UFO sightings given to us by a UFO group)."
2005-11-19,,Boston,Lincolnshire,,"Lights were seen in the sky, moving in a straight line and were evenly spaced. The lights were glowing amber like street lights."
2005-11-22,,Sheerness,Kent,,"A 'V' shape of dim lights, that went into a straight line and then back into a V again."
2005-11-22,,Gillingham,Kent,,"Five lights in the sky, that looked very strange. The lights were flashing."
2005-12-13,19:45,Eastleigh,Hants,,"The trail of light was almost luminous green in colour, and looked like a rocket. Was high in the sky and was travelling at an amazing speed."
2005-12-14,07:15,,,,The witness said that the object looked like a shooting star. Was very bright and had a trail behind it.
2005-12-15,21:15,Dunfermline,Fife,,The object looked like a black triangle.
2005-12-16,14:10,Peebles,Borders,,The object was small and silver in colour. Was flying twice the speed of a military aircraft in a very straight line.
2005-12-18,07:45,Leigh-on-Sea,Essex,,"A photograph of a dot in the sky was taken, and when magnified, looked like some strange craft."
2005-12-24,21:20,Whitstable,Kent,,"Three bright, orange lights in the sky, and then a forth orange light appeared and followed the other three."
2005-12-27,,Rendlesham Forest,Suffolk,,A plume of light was seen that was a yellowish/orange colour. It vanished after a few seconds.
,,Chatteris,Cambridgeshire,,Just said that it was a sighting.
,,Whitstable,Kent,,Strange lights were seen in the sky.
,,Port Talbot,West Glamorgan,,Said it looked like a parachute flare.
,,Swansea,West Glamorgan,Coastguard,Said it looked like a parachute flare.
,,Brighton,,,"Sighting seen sometime in 2005, in Southwick."
,,Briton Ferry,West Glamorgan,,Just said something was seen in the sky. (Was seen sometime in February 2005).
,,Slough,Berkshire,,"The witness said it was like a big shooting star, amazing, but then said it was going too fast to be one."
,,Shepton Mallet,Somerset,,"(Seen in April 2005). Just said that the object looked like a star, but moved very slow sideways."
,,Basildon,Essex,,"(Seen in April 2005). Said that there was a spacecraft with aliens (the greys), sitting on top of it, above the bungalow."
,,Kendal,Cumbria,,(Was seen sometime in 2005). Witness thinks it was a UFO.
,,Brixton Hill,London,,(Was seen sometime in 2005). Witness thinks it was a UFO.
,09:34,Chevithorne,Devon,,The object looked like a telegraph pole.
,,Cardiff,South Wales,,A UFO. (Seen sometime in 2005).
,,Pontyclun,South Wales,,A UFO. (Seen sometime in 2005).
,,,,,"Two UFOs were spotted, and they were clearly not aeroplanes. (Seen sometime in July 2005)."
,,Lichfield,Staffordshire,,The object was circular and was a dull orange colour/light. Was the size of a meduim aircraft. (Seen in August 2005).
,,Ipswich,Suffolk,,Just said that it was a 'UFO'. ( Seen sometime in 2005).
,,,Somerset,,The witness said that there was a bubble like thing in the sky. It flashed across the sky. (Seen sometime in August 2005).
,,Croesyceiliog,Gwent,,The witness saw five to six white lights flying very fast overhead. They looked a bit like bright stars.
,,Bagshot,Surrey,,Just said a sighting.
,,,,,"A big, long shaped object seen. Like a long shaft. (Seen October 2005)."
,,,,,Just said had a UFO sighting.
,22:00,A5,North Wales,,"Witness saw bright lights dancing in the sky, on the way to Llandudno. (Seen in January 2005)."
,23:10,Monmouth,Gwent,,"A flying saucer was seen, while looking out of the bedroom window. (Was seen in October 2005)."
,,Waterlooville,Hampshire,,"Twelve objects were seen in the sky in a sort of a formation - three in a line, two in a line. Some flying above others."
,,Harrington,East Lothian,,Witness just said that it was a UFO. (Seen sometime in December 2005).
,,Louth,Lincolnshire,,"The object had red, blue and white lights and was flickering, it was there for over half an hour. (Seen sometime in 2005)."
,,Ely,Cambs,,Just said a sighting. (Seen sometime in 2005).
,,High Wycombe,Buckinghamshire,,An object was seen. (Seen sometime in December 2005).
2006-01-24,16:20,,,,An object was moving across the sky and looked like it was on fire. It was cigar shaped and silver in colour.
2006-01-30,06:00,Shrewsbury,Shropshire,,A light was seen travelling rapidly due South West.
2006-02-07,14:08,Colchester,Essex,,"Four lights in the sky, a bit like fluorescent light strips, with a yellow tinge and very bright, were floating and then disappeared."
2006-02-10,19:20,Marlborough,Wiltshire,,"A light was seen that was a flashing ball, changing colour from red, orange, green and blue. Was hovering for about 30 minutes."
2006-02-15,20:40,Mitcham,Surrey,,"Two bright lights, which were then joined by a third bright light, which then flew along side them."
2006-02-16,21:25,Pegwell Bay/Ramsgate,Kent,,"A UFO, Shooting Star or something was seen, couldn't really make out what it was! Was bright blue/white in colour."
2006-02-21,19:45,,Scotland,,"A blue ball of light, with a tail at the end"
2006-02-28,22:00,Crewe,Cheshire,,Very bright lights were seen for over half an hour. They were hovering quite slowly from side to side.
2006-03-03,,Streatham,London,,Two objects were seen in the sky.
2006-03-05,17:35,Hemel Hempstead,Bedfordshire,,A disc was seen flying above two aircraft.
2006-03-18,22:45,West Kilbride,Ayrshire,,There were two spheres and one was following the other. Looked like they were moving from side to side.
2006-03-19,18:35,Newquay,Cornwall,,"A bright disc was seen hanging in the sky. The object appeared to quiver, rather than move. Moved around and then just vanished."
2006-03-28,,Derby,Derbyshire,,A bright red light was seen in the sky. The light was moving too quickly across the sky to be an aircraft.
2006-03-30,00:40,Plymouth,Devon,,"There was a huge, shimmering ball of orange fire. Flew Eastwards and looked like a black spot, as it disappeared into the clouds."
2006-04-14,,,,,A UFO was seen. (Message taken 17 April 2006).
2006-04-23,22:00,West Kilbride,Ayrshire,,Four golden spheres. They drifted - South to North East. The witness said they are definitely solid guided craft.
2006-04-27,22:30,Trestle,Stafford,,"Looked like a satellite coming into the atmosphere and coming to it's end, but then another object came into view and they started zig-zagging about."
2006-04-30,,Barlaston,Staffordshire,,There was the mother ship and two smaller orbs that were moving around it. One of the orbs was white in colour and the other orange.
2006-05-05,,Barlaston,Staffordshire,,The mother ship was seen again. (The two separate sightings were on one letter).
2006-05-08,13:11,St. Tudwal's Islands,Mid-Wales,,The object looked like a black square hanging in the sky.
2006-05-16,19:41,Hastings,East Sussex,,Two witnesses thought that they saw an alien outside their kitchen window.
2006-05-20,22:00,East Dereham,Norfolk,,Orange lights were seen. They appeared to be in formation and travelling quite slowly.
2006-06-03,17:05,Maidstone,Kent,,"A large, round, white object, with smaller, round white objects randomly scattered surrounding it. The objects started to fade."
2006-06-05,22:12,Haydock,Merseyside,,"The ball of light looked like a sphere on fire. Like a comet with no tail. It had a circular light glowing in front of it, that was orange/yellow."
2006-06-08,19:00,Banbury,Oxon,,"Looked like a structured object, and it glinted like metal."
2006-06-14,18:15,,West Yorkshire,,An object was seen in the sky that was glowing white.
2006-06-17,21:45,Broadstairs,Kent,,"Five orange balls of light, going over one at a time, at about 10-15 minute intervals."
2006-06-17,23:30,St Annes,Lancashire,,Nine objects. Bright orange lights.
2006-06-18,18:45,Macclesfield,Cheshire,,"A spinning object, which appeared to have a triangular shaped part on either side of it. Was a grey metallic colour, almost dull."
2006-06-26,23:30,Lavenham,Suffolk,,A UFO sighting.
2006-07-04,22:00,Locherbridges,Dumfries,,"Dome shaped static object, with lights running up and down the dome, with another light swaying to and fro beneath."
2006-07-15,18:00,Chorlton,Manchester,,Three silver dots/craft were seen very high up in the sky.
2006-07-17,02:00,Marlborough,Devon,,"Two round, stationary, slightly oval lights were seen. A third light kept arcing between the other two oval lights, and lit up the sky."
2006-07-18,16:15,Stevenage,Bedfordshire,,"The object was oblong shape, and was also described as looking a bit like a scooter."
